language	dataset_name	hours_used_in_nvidia_recipe	estimated_total_public_hours	access_class	role	source_url	notes
es	Fisher Spanish	141		licensed	nvidia_seed_recipe	https://catalog.ldc.upenn.edu/LDC2010S01	LDC conversational telephone corpus; the clearest non-public ingredient in the released recipe.
es	Common Voice 12 (es)	395	395	public_open	nvidia_seed_recipe	https://huggingface.co/datasets/mozilla-foundation/common_voice_12_0	Open Mozilla crowd corpus; later Common Voice releases may be materially larger.
es	MLS Spanish	780	938	public_open	nvidia_seed_recipe	https://huggingface.co/datasets/facebook/multilingual_librispeech	Public audiobook and read-speech corpus; full Spanish branch appears larger than the NVIDIA-used subset.
es	VoxPopuli Spanish	108	166	public_open	nvidia_seed_recipe	https://huggingface.co/datasets/facebook/voxpopuli	Public European Parliament speech; official dataset is larger than the slice NVIDIA used.
es	Multilingual TEDx Spanish (mTEDx / OpenSLR 100)			needs_audit	public_replacement_candidate	https://www.openslr.org/100/	Useful prepared-speech supplement, but the noncommercial/no-derivatives license needs review before training use.
es	Crowdsourced Argentinian Spanish Speech Data Set (OpenSLR 61)			public_open	public_replacement_candidate	https://www.openslr.org/61/	Useful accent-diversity supplement with no clean public hour total on the official page.
es	Crowdsourced Venezuelan Spanish Speech Data Set (OpenSLR 75)			public_open	public_replacement_candidate	https://www.openslr.org/75/	Useful Latin American accent supplement, though the official page surfaces archive sizes more clearly than hours.
es	MediaSpeech Spanish (OpenSLR 108)		10	public_open	eval_only	https://www.openslr.org/108/	Small public media-speech benchmark; better for robustness checks than bulk recipe replacement.
es	FLEURS es_419		11.2	public_open	eval_only	https://huggingface.co/datasets/google/fleurs	Strong multilingual benchmark and evaluation corpus for Spanish, but too small to matter for training scale.
es	CALLHOME Spanish Speech			licensed	licensed_option	https://catalog.ldc.upenn.edu/LDC96S35	Licensed conversational telephone Spanish; useful if closer telephony-domain evaluation or adaptation is needed.
es	Multi-Language Conversational Telephone Speech 2011 -- Spanish			licensed	licensed_option	https://catalog.ldc.upenn.edu/LDC2018S12	Licensed telephone-speech supplement that is closer to Fisher's domain than open read-speech alternatives.
es	Appen Spanish (Spain) conversational smartphone			commercial	commercial_option	https://datasets.appen.com/product/esp_asr003/	Buyable conversational Spanish smartphone corpus; more spontaneous than read prompts but still not identical to Fisher telephony.
es	Spanish Speech Data by Mobile Phone - 435 Hours (ELRA-S0447)			commercial	commercial_option	https://catalog.elra.info/en-us/repository/browse/ELRA-S0447/	Large commercial Spanish mobile-speech option that is useful for scale, not literal recipe matching.
