old_path	new_path	old_category	status
docs/papers/[Bu et al, 2021]-pteacher-exaggerated-audio-visual-capt.md	docs/papers/[Bu et al, 2021]-pteacher-exaggerated-audio-visual-capt.md	capt_systems	moved
docs/papers/[Bu et al, 2021]-pteacher-exaggerated-audio-visual-capt.pdf	docs/papers/[Bu et al, 2021]-pteacher-exaggerated-audio-visual-capt.pdf	capt_systems	moved
docs/papers/[Chao et al, 2025]-hmamba-apa-mdd-dexent-capt.md	docs/papers/[Chao et al, 2025]-hmamba-apa-mdd-dexent-capt.md	capt_systems	moved
docs/papers/[Chao et al, 2025]-hmamba-apa-mdd-dexent-capt.pdf	docs/papers/[Chao et al, 2025]-hmamba-apa-mdd-dexent-capt.pdf	capt_systems	moved
docs/papers/[Kiesel et al, 2025]-visowel-interactive-vowel-chart-l2.md	docs/papers/[Kiesel et al, 2025]-visowel-interactive-vowel-chart-l2.md	capt_systems	moved
docs/papers/[Kiesel et al, 2025]-visowel-interactive-vowel-chart-l2.pdf	docs/papers/[Kiesel et al, 2025]-visowel-interactive-vowel-chart-l2.pdf	capt_systems	moved
docs/papers/[Korzekwa et al, 2022]-capt-speech-synthesis-p2p-t2s-s2s.md	docs/papers/[Korzekwa et al, 2022]-capt-speech-synthesis-p2p-t2s-s2s.md	capt_systems	moved
docs/papers/[Korzekwa et al, 2022]-capt-speech-synthesis-p2p-t2s-s2s.pdf	docs/papers/[Korzekwa et al, 2022]-capt-speech-synthesis-p2p-t2s-s2s.pdf	capt_systems	moved
docs/papers/[Liu et al, 2026]-alm-chat-based-pronunciation-training.md	docs/papers/[Liu et al, 2026]-alm-chat-based-pronunciation-training.md	capt_systems	moved
docs/papers/[Liu et al, 2026]-alm-chat-based-pronunciation-training.pdf	docs/papers/[Liu et al, 2026]-alm-chat-based-pronunciation-training.pdf	capt_systems	moved
docs/papers/[Yan et al, 2025]-muffin-multifaceted-apa-mdd-joint.md	docs/papers/[Yan et al, 2025]-muffin-multifaceted-apa-mdd-joint.md	capt_systems	moved
docs/papers/[Yan et al, 2025]-muffin-multifaceted-apa-mdd-joint.pdf	docs/papers/[Yan et al, 2025]-muffin-multifaceted-apa-mdd-joint.pdf	capt_systems	moved
docs/papers/[Yang et al, 2025]-jcapt-mamba-phonological-capt.md	docs/papers/[Yang et al, 2025]-jcapt-mamba-phonological-capt.md	capt_systems	moved
docs/papers/[Yang et al, 2025]-jcapt-mamba-phonological-capt.pdf	docs/papers/[Yang et al, 2025]-jcapt-mamba-phonological-capt.pdf	capt_systems	moved
